0,"[3000, 11, 4]"
1,"[1500, 14, 5]"
2,"[2500, 12, 5]"
3,"[4500, 15, 1]"
4,"[15000, 12, 3]"
5,"[3000, 15, 6]"
6,"[2000, 15, 6]"
7,"[2000, 14, 2]"
8,"[3000, 16, 4]"
9,"[2000, 13, 1]"
10,"[4500, 10, 4]"
11,"[15000, 16, 3]"
12,"[4500, 17, 5]"
13,"[3500, 10, 6]"
14,"[2000, 10, 5]"
15,"[2000, 11, 4]"
16,"[24000, 10, 3]"
17,"[3500, 13, 6]"
18,"[3000, 11, 5]"
19,"[15000, 11, 3]"
20,"[3500, 15, 2]"
21,"[3500, 14, 3]"
22,"[24000, 16, 1]"
23,"[2000, 14, 4]"
24,"[1500, 16, 2]"
25,"[5000, 10, 5]"
26,"[4500, 18, 1]"
27,"[2500, 13, 5]"
28,"[5000, 18, 3]"
29,"[5000, 16, 3]"
30,"[24000, 10, 5]"
31,"[2000, 15, 4]"
32,"[2500, 17, 2]"
33,"[3500, 17, 5]"
34,"[3500, 16, 5]"
35,"[2500, 15, 5]"
36,"[5000, 15, 6]"
37,"[3500, 12, 3]"
38,"[15000, 12, 6]"
39,"[4500, 18, 3]"
40,"[15000, 12, 5]"
41,"[1500, 12, 1]"
42,"[24000, 15, 3]"
43,"[4000, 10, 4]"
44,"[5000, 15, 4]"
45,"[2500, 16, 3]"
46,"[3000, 18, 2]"
47,"[4500, 15, 6]"
48,"[4000, 18, 4]"
49,"[15000, 14, 2]"
